key,0,1,2,3,4,5,6
130,100,0,0,0,0,0,0
131,100,0,0,0,0,0,0
132,100,0,0,0,0,0,0
133,100,0,0,0,0,0,0
134,100,0,0,0,0,0,0
135,100,0,0,0,0,0,0
136,100,0,0,0,0,0,0
137,100,0,0,0,0,0,0
138,100,0,0,0,0,0,0
139,100,0,0,0,0,0,0
140,100,0,0,0,0,0,0
141,100,0,0,0,0,0,0
142,100,0,0,0,0,0,0
143,100,0,0,0,0,0,0
144,100,0,0,0,0,0,0
145,100,0,0,0,0,0,0
146,100,0,0,0,0,0,0
147,100,0,0,0,0,0,0
148,100,0,0,0,0,0,0
149,100,0,0,0,0,0,0
150,100,0,0,0,0,0,0
151,100,0,0,0,0,0,0
152,100,0,0,0,0,0,0
153,100,0,0,0,0,0,0
154,100,0,0,0,0,0,0
155,100,0,0,0,0,0,0
156,100,0,0,0,0,0,0
157,100,0,0,0,0,0,0
158,100,0,0,0,0,0,0
159,100,0,0,0,0,0,0
160,100,0,0,0,0,0,0
161,100,0,0,0,0,0,0
162,100,0,0,0,0,0,0
163,100,0,0,0,0,0,0
164,100,0,0,0,0,0,0
165,100,0,0,0,0,0,0
166,100,0,0,0,0,0,0
167,100,0,0,0,0,0,0
168,100,0,0,0,0,0,0
169,100,0,0,0,0,0,0
170,100,0,0,0,0,0,0
171,100,0,0,0,0,0,0
172,100,0,0,0,0,0,0
173,100,0,0,0,0,0,0
174,100,0,0,0,0,0,0
175,100,0,0,0,0,0,0
176,100,0,0,0,0,0,0
177,100,0,0,0,0,0,0
178,100,0,0,0,0,0,0
179,100,0,0,0,0,0,0
180,100,0,0,0,0,0,0
181,100,0,0,0,0,0,0
182,100,0,0,0,0,0,0
183,100,0,0,0,0,0,0
184,100,0,0,0,0,0,0
185,100,0,0,0,0,0,0
186,100,0,0,0,0,0,0
187,100,0,0,0,0,0,0
188,100,0,0,0,0,0,0
189,100,0,0,0,0,0,0
190,100,0,0,0,0,0,0
191,100,0,0,0,0,0,0
192,100,0,0,0,0,0,0
193,100,0,0,0,0,0,0
194,100,0,0,0,0,0,0
195,100,0,0,0,0,0,0
196,100,0,0,0,0,0,0
197,100,0,0,0,0,0,0
198,100,0,0,0,0,0,0
199,100,0,0,0,0,0,0
200,100,0,0,0,0,0,0
